sepal_length,sepal_width,petal_length,petal_width,target,species,sepal_area,petal_area,sepal_petal_ratio,sepal_length_zscore,petal_length_zscore
5.1,3.5,1.4,0.2,0,setosa,17.849999999999998,0.27999999999999997,63.75,-0.8976738791967661,-1.3357516342415203
4.9,3.0,1.4,0.2,0,setosa,14.700000000000001,0.27999999999999997,52.50000000000001,-1.1392004834649532,-1.3357516342415203
4.7,3.2,1.3,0.2,0,setosa,15.040000000000001,0.26,57.84615384615385,-1.3807270877331412,-1.3923992862449772
4.6,3.1,1.5,0.2,0,setosa,14.26,0.30000000000000004,47.533333333333324,-1.5014903898672358,-1.2791039822380632
5.0,3.6,1.4,0.2,0,setosa,18.0,0.27999999999999997,64.28571428571429,-1.0184371813308597,-1.3357516342415203
5.4,3.9,1.7,0.4,0,setosa,21.060000000000002,0.68,30.97058823529412,-0.5353839727944832,-1.165808678231149
4.6,3.4,1.4,0.3,0,setosa,15.639999999999999,0.42,37.238095238095234,-1.5014903898672358,-1.3357516342415203
5.0,3.4,1.5,0.2,0,setosa,17.0,0.30000000000000004,56.66666666666666,-1.0184371813308597,-1.2791039822380632
4.4,2.9,1.4,0.2,0,setosa,12.76,0.27999999999999997,45.57142857142858,-1.743016994135423,-1.3357516342415203
4.9,3.1,1.5,0.1,0,setosa,15.190000000000001,0.15000000000000002,101.26666666666667,-1.1392004834649532,-1.2791039822380632
5.4,3.7,1.5,0.2,0,setosa,19.980000000000004,0.30000000000000004,66.60000000000001,-0.5353839727944832,-1.2791039822380632
4.8,3.4,1.6,0.2,0,setosa,16.32,0.32000000000000006,50.99999999999999,-1.2599637855990478,-1.2224563302346059
4.8,3.0,1.4,0.1,0,setosa,14.399999999999999,0.13999999999999999,102.85714285714286,-1.2599637855990478,-1.3357516342415203
4.3,3.0,1.1,0.1,0,setosa,12.899999999999999,0.11000000000000001,117.27272727272724,-1.8637802962695176,-1.5056945902518917
5.8,4.0,1.2,0.2,0,setosa,23.2,0.24,96.66666666666667,-0.05233076425810806,-1.4490469382484348
5.7,4.4,1.5,0.4,0,setosa,25.080000000000002,0.6000000000000001,41.8,-0.1730940663922016,-1.2791039822380632
5.4,3.9,1.3,0.4,0,setosa,21.060000000000002,0.52,40.5,-0.5353839727944832,-1.3923992862449772
5.1,3.5,1.4,0.3,0,setosa,17.849999999999998,0.42,42.5,-0.8976738791967661,-1.3357516342415203
5.7,3.8,1.7,0.3,0,setosa,21.66,0.51,42.470588235294116,-0.1730940663922016,-1.165808678231149
5.1,3.8,1.5,0.3,0,setosa,19.38,0.44999999999999996,43.06666666666667,-0.8976738791967661,-1.2791039822380632
5.4,3.4,1.7,0.2,0,setosa,18.36,0.34,53.99999999999999,-0.5353839727944832,-1.165808678231149
5.1,3.7,1.5,0.4,0,setosa,18.87,0.6000000000000001,31.449999999999996,-0.8976738791967661,-1.2791039822380632
4.6,3.6,1.0,0.2,0,setosa,16.56,0.2,82.79999999999998,-1.5014903898672358,-1.562342242255349
5.1,3.3,1.7,0.5,0,setosa,16.83,0.85,19.799999999999997,-0.8976738791967661,-1.165808678231149
4.8,3.4,1.9,0.2,0,setosa,16.32,0.38,42.94736842105263,-1.2599637855990478,-1.0525133742242345
5.0,3.0,1.6,0.2,0,setosa,15.0,0.32000000000000006,46.87499999999999,-1.0184371813308597,-1.2224563302346059
5.0,3.4,1.6,0.4,0,setosa,17.0,0.6400000000000001,26.562499999999996,-1.0184371813308597,-1.2224563302346059
5.2,3.5,1.5,0.2,0,setosa,18.2,0.30000000000000004,60.66666666666666,-0.7769105770626714,-1.2791039822380632
5.2,3.4,1.4,0.2,0,setosa,17.68,0.27999999999999997,63.142857142857146,-0.7769105770626714,-1.3357516342415203
4.7,3.2,1.6,0.2,0,setosa,15.040000000000001,0.32000000000000006,46.99999999999999,-1.3807270877331412,-1.2224563302346059
4.8,3.1,1.6,0.2,0,setosa,14.879999999999999,0.32000000000000006,46.499999999999986,-1.2599637855990478,-1.2224563302346059
5.4,3.4,1.5,0.4,0,setosa,18.36,0.6000000000000001,30.599999999999994,-0.5353839727944832,-1.2791039822380632
5.2,4.1,1.5,0.1,0,setosa,21.32,0.15000000000000002,142.13333333333333,-0.7769105770626714,-1.2791039822380632
5.5,4.2,1.4,0.2,0,setosa,23.1,0.27999999999999997,82.50000000000001,-0.41462067066038977,-1.3357516342415203
4.9,3.1,1.5,0.2,0,setosa,15.190000000000001,0.30000000000000004,50.63333333333333,-1.1392004834649532,-1.2791039822380632
5.0,3.2,1.2,0.2,0,setosa,16.0,0.24,66.66666666666667,-1.0184371813308597,-1.4490469382484348
5.5,3.5,1.3,0.2,0,setosa,19.25,0.26,74.03846153846153,-0.41462067066038977,-1.3923992862449772
4.9,3.6,1.4,0.1,0,setosa,17.64,0.13999999999999999,126.00000000000001,-1.1392004834649532,-1.3357516342415203
4.4,3.0,1.3,0.2,0,setosa,13.200000000000001,0.26,50.769230769230774,-1.743016994135423,-1.3923992862449772
5.1,3.4,1.5,0.2,0,setosa,17.34,0.30000000000000004,57.79999999999999,-0.8976738791967661,-1.2791039822380632
5.0,3.5,1.3,0.3,0,setosa,17.5,0.39,44.87179487179487,-1.0184371813308597,-1.3923992862449772
4.5,2.3,1.3,0.3,0,setosa,10.35,0.39,26.538461538461537,-1.6222536920013295,-1.3923992862449772
4.4,3.2,1.3,0.2,0,setosa,14.080000000000002,0.26,54.15384615384616,-1.743016994135423,-1.3923992862449772
5.0,3.5,1.6,0.6,0,setosa,17.5,0.96,18.229166666666668,-1.0184371813308597,-1.2224563302346059
5.1,3.8,1.9,0.4,0,setosa,19.38,0.76,25.5,-0.8976738791967661,-1.0525133742242345
4.8,3.0,1.4,0.3,0,setosa,14.399999999999999,0.42,34.285714285714285,-1.2599637855990478,-1.3357516342415203
5.1,3.8,1.6,0.2,0,setosa,19.38,0.32000000000000006,60.562499999999986,-0.8976738791967661,-1.2224563302346059
4.6,3.2,1.4,0.2,0,setosa,14.719999999999999,0.27999999999999997,52.57142857142857,-1.5014903898672358,-1.3357516342415203
5.3,3.7,1.5,0.2,0,setosa,19.61,0.30000000000000004,65.36666666666666,-0.6561472749285779,-1.2791039822380632
5.0,3.3,1.4,0.2,0,setosa,16.5,0.27999999999999997,58.92857142857144,-1.0184371813308597,-1.3357516342415203
7.0,3.2,4.7,1.4,1,versicolor,22.400000000000002,6.58,3.4042553191489366,1.3968288613510198,0.5336208818725664
6.4,3.2,4.5,1.5,1,versicolor,20.480000000000004,6.75,3.034074074074075,0.6722490485464564,0.42032557786565194
6.9,3.1,4.9,1.5,1,versicolor,21.39,7.3500000000000005,2.910204081632653,1.2760655592169263,0.6469161858794809
5.5,2.3,4.0,1.3,1,versicolor,12.649999999999999,5.2,2.4326923076923075,-0.41462067066038977,0.13708731784836609
6.5,2.8,4.6,1.5,1,versicolor,18.2,6.8999999999999995,2.63768115942029,0.79301235068055,0.4769732298691089
5.7,2.8,4.5,1.3,1,versicolor,15.959999999999999,5.8500000000000005,2.728205128205128,-0.1730940663922016,0.42032557786565194
6.3,3.3,4.7,1.6,1,versicolor,20.79,7.5200000000000005,2.764627659574468,0.5514857464123618,0.5336208818725664
4.9,2.4,3.3,1.0,1,versicolor,11.76,3.3,3.563636363636364,-1.1392004834649532,-0.25944624617583417
6.6,2.9,4.6,1.3,1,versicolor,19.139999999999997,5.9799999999999995,3.20066889632107,0.9137756528146435,0.4769732298691089
5.2,2.7,3.9,1.4,1,versicolor,14.040000000000001,5.46,2.5714285714285716,-0.7769105770626714,0.08043966584490887
5.0,2.0,3.5,1.0,1,versicolor,10.0,3.5,2.857142857142857,-1.0184371813308597,-0.14615094216891975
5.9,3.0,4.2,1.5,1,versicolor,17.700000000000003,6.300000000000001,2.8095238095238098,0.06843253787598655,0.25038262185528054
6.0,2.2,4.0,1.0,1,versicolor,13.200000000000001,4.0,3.3000000000000003,0.1891958400100801,0.13708731784836609
6.1,2.9,4.7,1.4,1,versicolor,17.689999999999998,6.58,2.6884498480243155,0.30995914214417364,0.5336208818725664
5.6,2.9,3.6,1.3,1,versicolor,16.24,4.680000000000001,3.4700854700854693,-0.29385736852629624,-0.08950329016546253
6.7,3.1,4.4,1.4,1,versicolor,20.77,6.16,3.3717532467532467,1.034538954948738,0.36367792586219494
5.6,3.0,4.5,1.5,1,versicolor,16.799999999999997,6.75,2.4888888888888885,-0.29385736852629624,0.42032557786565194
5.8,2.7,4.1,1.0,1,versicolor,15.66,4.1,3.8195121951219515,-0.05233076425810806,0.19373496985182306
6.2,2.2,4.5,1.5,1,versicolor,13.640000000000002,6.75,2.020740740740741,0.4307224442782682,0.42032557786565194
5.6,2.5,3.9,1.1,1,versicolor,14.0,4.29,3.2634032634032635,-0.29385736852629624,0.08043966584490887
5.9,3.2,4.8,1.8,1,versicolor,18.880000000000003,8.64,2.185185185185185,0.06843253787598655,0.5902685338760233
6.1,2.8,4.0,1.3,1,versicolor,17.08,5.2,3.284615384615384,0.30995914214417364,0.13708731784836609
6.3,2.5,4.9,1.5,1,versicolor,15.75,7.3500000000000005,2.142857142857143,0.5514857464123618,0.6469161858794809
6.1,2.8,4.7,1.2,1,versicolor,17.08,5.64,3.028368794326241,0.30995914214417364,0.5336208818725664
6.4,2.9,4.3,1.3,1,versicolor,18.56,5.59,3.3202146690518783,0.6722490485464564,0.3070302738587375
6.6,3.0,4.4,1.4,1,versicolor,19.799999999999997,6.16,3.214285714285714,0.9137756528146435,0.36367792586219494
6.8,2.8,4.8,1.4,1,versicolor,19.04,6.72,2.8333333333333335,1.1553022570828317,0.5902685338760233
6.7,3.0,5.0,1.7,1,versicolor,20.1,8.5,2.364705882352941,1.034538954948738,0.7035638378829377
6.0,2.9,4.5,1.5,1,versicolor,17.4,6.75,2.5777777777777775,0.1891958400100801,0.42032557786565194
5.7,2.6,3.5,1.0,1,versicolor,14.82,3.5,4.234285714285714,-0.1730940663922016,-0.14615094216891975
5.5,2.4,3.8,1.1,1,versicolor,13.2,4.18,3.1578947368421053,-0.41462067066038977,0.023792013841451656
5.5,2.4,3.7,1.0,1,versicolor,13.2,3.7,3.567567567567567,-0.41462067066038977,-0.03285563816200531
5.8,2.7,3.9,1.2,1,versicolor,15.66,4.68,3.3461538461538463,-0.05233076425810806,0.08043966584490887
6.0,2.7,5.1,1.6,1,versicolor,16.200000000000003,8.16,1.985294117647059,0.1891958400100801,0.7602114898863948
5.4,3.0,4.5,1.5,1,versicolor,16.200000000000003,6.75,2.4000000000000004,-0.5353839727944832,0.42032557786565194
6.0,3.4,4.5,1.6,1,versicolor,20.4,7.2,2.833333333333333,0.1891958400100801,0.42032557786565194
6.7,3.1,4.7,1.5,1,versicolor,20.77,7.050000000000001,2.9460992907801415,1.034538954948738,0.5336208818725664
6.3,2.3,4.4,1.3,1,versicolor,14.489999999999998,5.720000000000001,2.5332167832167825,0.5514857464123618,0.36367792586219494
5.6,3.0,4.1,1.3,1,versicolor,16.799999999999997,5.33,3.1519699812382735,-0.29385736852629624,0.19373496985182306
5.5,2.5,4.0,1.3,1,versicolor,13.75,5.2,2.644230769230769,-0.41462067066038977,0.13708731784836609
5.5,2.6,4.4,1.2,1,versicolor,14.3,5.28,2.7083333333333335,-0.41462067066038977,0.36367792586219494
6.1,3.0,4.6,1.4,1,versicolor,18.299999999999997,6.4399999999999995,2.841614906832298,0.30995914214417364,0.4769732298691089
5.8,2.6,4.0,1.2,1,versicolor,15.08,4.8,3.1416666666666666,-0.05233076425810806,0.13708731784836609
5.0,2.3,3.3,1.0,1,versicolor,11.5,3.3,3.484848484848485,-1.0184371813308597,-0.25944624617583417
5.6,2.7,4.2,1.3,1,versicolor,15.12,5.460000000000001,2.7692307692307687,-0.29385736852629624,0.25038262185528054
5.7,3.0,4.2,1.2,1,versicolor,17.1,5.04,3.3928571428571432,-0.1730940663922016,0.25038262185528054
5.7,2.9,4.2,1.3,1,versicolor,16.53,5.460000000000001,3.0274725274725274,-0.1730940663922016,0.25038262185528054
6.2,2.9,4.3,1.3,1,versicolor,17.98,5.59,3.216457960644007,0.4307224442782682,0.3070302738587375
5.1,2.5,3.0,1.1,1,versicolor,12.75,3.3000000000000003,3.8636363636363633,-0.8976738791967661,-0.4293892021862056
5.7,2.8,4.1,1.3,1,versicolor,15.959999999999999,5.33,2.99437148217636,-0.1730940663922016,0.19373496985182306
6.3,3.3,6.0,2.5,2,virginica,20.79,15.0,1.386,0.5514857464123618,1.2700403579175095
5.8,2.7,5.1,1.9,2,virginica,15.66,9.69,1.6160990712074303,-0.05233076425810806,0.7602114898863948
7.1,3.0,5.9,2.1,2,virginica,21.299999999999997,12.39,1.7191283292978206,1.5175921634851133,1.2133927059140526
6.3,2.9,5.6,1.8,2,virginica,18.27,10.08,1.8125,0.5514857464123618,1.0434497499036806
6.5,3.0,5.8,2.2,2,virginica,19.5,12.76,1.5282131661442007,0.79301235068055,1.156745053910595
7.6,3.0,6.6,2.1,2,virginica,22.799999999999997,13.86,1.6450216450216448,2.121408674155583,1.6099262699382522
4.9,2.5,4.5,1.7,2,virginica,12.25,7.6499999999999995,1.6013071895424837,-1.1392004834649532,0.42032557786565194
7.3,2.9,6.3,1.8,2,virginica,21.169999999999998,11.34,1.8668430335097,1.7591187677533016,1.4399833139278808
6.7,2.5,5.8,1.8,2,virginica,16.75,10.44,1.6044061302681993,1.034538954948738,1.156745053910595
7.2,3.6,6.1,2.5,2,virginica,25.92,15.25,1.6996721311475411,1.6383554656192079,1.3266880099209664
6.5,3.2,5.1,2.0,2,virginica,20.8,10.2,2.03921568627451,0.79301235068055,0.7602114898863948
6.4,2.7,5.3,1.9,2,virginica,17.28,10.069999999999999,1.7159880834160877,0.6722490485464564,0.8735067938933092
6.8,3.0,5.5,2.1,2,virginica,20.4,11.55,1.766233766233766,1.1553022570828317,0.9868020979002236
5.7,2.5,5.0,2.0,2,virginica,14.25,10.0,1.425,-0.1730940663922016,0.7035638378829377
5.8,2.8,5.1,2.4,2,virginica,16.24,12.239999999999998,1.326797385620915,-0.05233076425810806,0.7602114898863948
6.4,3.2,5.3,2.3,2,virginica,20.480000000000004,12.19,1.680065627563577,0.6722490485464564,0.8735067938933092
6.5,3.0,5.5,1.8,2,virginica,19.5,9.9,1.9696969696969697,0.79301235068055,0.9868020979002236
7.7,3.8,6.7,2.2,2,virginica,29.259999999999998,14.740000000000002,1.9850746268656712,2.242171976289678,1.6665739219417097
7.7,2.6,6.9,2.3,2,virginica,20.02,15.87,1.2614996849401388,2.242171976289678,1.7798692259486242
6.0,2.2,5.0,1.5,2,virginica,13.200000000000001,7.5,1.7600000000000002,0.1891958400100801,0.7035638378829377
6.9,3.2,5.7,2.3,2,virginica,22.080000000000002,13.11,1.6842105263157896,1.2760655592169263,1.1000974019071381
5.6,2.8,4.9,2.0,2,virginica,15.679999999999998,9.8,1.5999999999999996,-0.29385736852629624,0.6469161858794809
7.7,2.8,6.7,2.0,2,virginica,21.56,13.4,1.6089552238805969,2.242171976289678,1.6665739219417097
6.3,2.7,4.9,1.8,2,virginica,17.01,8.82,1.9285714285714286,0.5514857464123618,0.6469161858794809
6.7,3.3,5.7,2.1,2,virginica,22.11,11.97,1.8471177944862154,1.034538954948738,1.1000974019071381
7.2,3.2,6.0,1.8,2,virginica,23.040000000000003,10.8,2.1333333333333333,1.6383554656192079,1.2700403579175095
6.2,2.8,4.8,1.8,2,virginica,17.36,8.64,2.009259259259259,0.4307224442782682,0.5902685338760233
6.1,3.0,4.9,1.8,2,virginica,18.299999999999997,8.82,2.0748299319727885,0.30995914214417364,0.6469161858794809
6.4,2.8,5.6,2.1,2,virginica,17.919999999999998,11.76,1.5238095238095237,0.6722490485464564,1.0434497499036806
7.2,3.0,5.8,1.6,2,virginica,21.6,9.28,2.327586206896552,1.6383554656192079,1.156745053910595
7.4,2.8,6.1,1.9,2,virginica,20.72,11.589999999999998,1.7877480586712686,1.8798820698873961,1.3266880099209664
7.9,3.8,6.4,2.0,2,virginica,30.02,12.8,2.3453125,2.4836985805578657,1.4966309659313384
6.4,2.8,5.6,2.2,2,virginica,17.919999999999998,12.32,1.4545454545454544,0.6722490485464564,1.0434497499036806
6.3,2.8,5.1,1.5,2,virginica,17.639999999999997,7.6499999999999995,2.3058823529411763,0.5514857464123618,0.7602114898863948
6.1,2.6,5.6,1.4,2,virginica,15.86,7.839999999999999,2.0229591836734695,0.30995914214417364,1.0434497499036806
7.7,3.0,6.1,2.3,2,virginica,23.1,14.029999999999998,1.6464718460441914,2.242171976289678,1.3266880099209664
6.3,3.4,5.6,2.4,2,virginica,21.419999999999998,13.44,1.59375,0.5514857464123618,1.0434497499036806
6.4,3.1,5.5,1.8,2,virginica,19.840000000000003,9.9,2.0040404040404045,0.6722490485464564,0.9868020979002236
6.0,3.0,4.8,1.8,2,virginica,18.0,8.64,2.083333333333333,0.1891958400100801,0.5902685338760233
6.9,3.1,5.4,2.1,2,virginica,21.39,11.340000000000002,1.886243386243386,1.2760655592169263,0.9301544458967667
6.7,3.1,5.6,2.4,2,virginica,20.77,13.44,1.5453869047619049,1.034538954948738,1.0434497499036806
6.9,3.1,5.1,2.3,2,virginica,21.39,11.729999999999999,1.823529411764706,1.2760655592169263,0.7602114898863948
5.8,2.7,5.1,1.9,2,virginica,15.66,9.69,1.6160990712074303,-0.05233076425810806,0.7602114898863948
6.8,3.2,5.9,2.3,2,virginica,21.76,13.57,1.6035372144436257,1.1553022570828317,1.2133927059140526
6.7,3.3,5.7,2.5,2,virginica,22.11,14.25,1.551578947368421,1.034538954948738,1.1000974019071381
6.7,3.0,5.2,2.3,2,virginica,20.1,11.959999999999999,1.6806020066889635,1.034538954948738,0.8168591418898522
6.3,2.5,5.0,1.9,2,virginica,15.75,9.5,1.6578947368421053,0.5514857464123618,0.7035638378829377
6.5,3.0,5.2,2.0,2,virginica,19.5,10.4,1.875,0.79301235068055,0.8168591418898522
6.2,3.4,5.4,2.3,2,virginica,21.08,12.42,1.6972624798711753,0.4307224442782682,0.9301544458967667
5.9,3.0,5.1,1.8,2,virginica,17.700000000000003,9.18,1.9281045751633992,0.06843253787598655,0.7602114898863948
